
2025/05/21 (07:26:36) | ===> btop++ v.1.4.0
2025/05/21 (07:26:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/21 (07:37:16) | ===> btop++ v.1.4.0
2025/05/21 (07:37:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/21 (07:39:24) | INFO: Logger set to INFO

2025/05/30 (07:55:33) | ===> btop++ v.1.4.0
2025/05/30 (07:55:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (07:57:16) | ===> btop++ v.1.4.0
2025/05/30 (07:57:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (07:59:49) | ===> btop++ v.1.4.0
2025/05/30 (07:59:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:00:17) | ===> btop++ v.1.4.0
2025/05/30 (08:00:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:02:26) | ===> btop++ v.1.4.0
2025/05/30 (08:02:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:16:18) | ===> btop++ v.1.4.0
2025/05/30 (08:16:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:21:13) | ===> btop++ v.1.4.0
2025/05/30 (08:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:32:26) | ===> btop++ v.1.4.0
2025/05/30 (08:32:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:32:46) | ===> btop++ v.1.4.0
2025/05/30 (08:32:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:33:40) | ===> btop++ v.1.4.0
2025/05/30 (08:33:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:37:32) | ===> btop++ v.1.4.0
2025/05/30 (08:37:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:39:53) | ===> btop++ v.1.4.0
2025/05/30 (08:39:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:41:21) | ===> btop++ v.1.4.0
2025/05/30 (08:41:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:41:54) | ===> btop++ v.1.4.0
2025/05/30 (08:41:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:43:25) | ===> btop++ v.1.4.0
2025/05/30 (08:43:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:44:06) | ===> btop++ v.1.4.0
2025/05/30 (08:44:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:44:25) | ===> btop++ v.1.4.0
2025/05/30 (08:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/30 (08:45:17) | ===> btop++ v.1.4.0
2025/05/30 (08:45:17) | WARNING: Intel GPU: Failed to initialize PMU
