AI Response: {
  response: '[\n' +
    '  {"operation":"delete","event_id":"d343db80-3177-4a72-9bcd-104318081bbb"},\n' +
    '  {"operation":"delete","event_id":"ee85fff3-e35e-485e-a578-3d35bd5e2184"},\n' +
    '  {"operation":"delete","event_id":"d420498a-b0b9-4a63-b0f2-98809f1a0a2d"},\n' +
    '  {"operation":"delete","event_id":"6dd4347e-e895-4488-a105-bd4277cb63dd"},\n' +
    '  {"operation":"delete","event_id":"079f9e16-3859-40d9-8281-b918121c0b65"},\n' +
    '  {"operation":"delete","event_id":"5ba2fa18-5fe5-4381-a3ef-f5e8f51b7969"},\n' +
    '  {"operation":"delete","event_id":"4abf9f76-d5e6-43f5-8257-1ec0a7bbcfde"},\n' +
    '  {"operation":"delete","event_id":"f7466bfa-2f41-404f-b584-4ad83e56b7b4"},\n' +
    '  {"operation":"delete","event_id":"f65f4760-5f68-46dd-b4e5-d170d805bd0a"},\n' +
    '  {"operation":"delete","event_id":"d66ee216-82ae-4c55-9cbc-1098313c0827"},\n' +
    '  {"operation":"delete","event_id":"efc92991-d9d8-41d5-a951-f8662e58e3a5"},\n' +
    '  {"operation":"delete","event_id":"5333391b-f7cc-4727-aa93-3f6a0ba95ea5"},\n' +
    '  {"operation":"delete","event_id":"1b3e3501-7400-421e-9490-9922daf47761"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-23","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-24","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-25","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-26","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-27","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-28","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-29","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-30","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-01-31","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-02-01","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-02-02","start_time":"09:00","end_time":"09:20"},\n' +
    '  {"operation":"create","task_id":"a95b8f96-d22a-49e5-8373-af71f764dd3b","date":"2026-02-03","start_time":"09:00","end_time":"09:20"}\n' +
    ']',
  usage: { prompt_tokens: 2829, completion_tokens: 1108, total_tokens: 3937 }
}
